timestep,pebble_id,pebble_z_mm,rank_from_top,reference_step,initial_internal_bonds,intact_internal_bonds,broken_internal_bonds,delta_broken_since_previous_dump,top_displacement_m,top_displacement_mm,top_force_z_N,bottom_force_z_N,side_force_z_N,all_wall_force_z_N
100000,22,1.42969,52,20000,4935,4935,0,0,4.5e-05,0.045000000000000005,0.10222786,-0.13664955,-0.033412147,-0.067833836
100000,23,1.39629,56,20000,4935,4935,0,0,4.5e-05,0.045000000000000005,0.10222786,-0.13664955,-0.033412147,-0.067833836
100000,24,0.497139,86,20000,4935,4935,0,0,4.5e-05,0.045000000000000005,0.10222786,-0.13664955,-0.033412147,-0.067833836
100000,25,1.43474,51,20000,4935,4935,0,0,4.5e-05,0.045000000000000005,0.10222786,-0.13664955,-0.033412147,-0.067833836
100000,26,0.709228,73,20000,4935,4935,0,0,4.5e-05,0.045000000000000005,0.10222786,-0.13664955,-0.033412147,-0.067833836
100000,27,0.496768,91,20000,4935,4935,0,0,4.5e-05,0.045000000000000005,0.10222786,-0.13664955,-0.033412147,-0.067833836
100000,28,1.43732,49,20000,4935,4935,0,0,4.5e-05,0.045000000000000005,0.10222786,-0.13664955,-0.033412147,-0.067833836
100000,29,0.497716,81,20000,4935,4935,0,0,4.5e-05,0.045000000000000005,0.10222786,-0.13664955,-0.033412147,-0.067833836
100000,30,0.991983,70,20000,4935,4935,0,0,4.5e-05,0.045000000000000005,0.10222786,-0.13664955,-0.033412147,-0.067833836
100000,31,0.496653,93,20000,4935,4935,0,0,4.5e-05,0.045000000000000005,0.10222786,-0.13664955,-0.033412147,-0.067833836
100000,32,1.37979,57,20000,4935,4935,0,0,4.5e-05,0.045000000000000005,0.10222786,-0.13664955,-0.033412147,-0.067833836
100000,33,1.60079,42,20000,4935,4935,0,0,4.5e-05,0.045000000000000005,0.10222786,-0.13664955,-0.033412147,-0.067833836
100000,34,1.42701,54,20000,4935,4935,0,0,4.5e-05,0.045000000000000005,0.10222786,-0.13664955,-0.033412147,-0.067833836
100000,35,1.4282,53,20000,4935,4935,0,0,4.5e-05,0.045000000000000005,0.10222786,-0.13664955,-0.033412147,-0.067833836
100000,36,2.08406,28,20000,4935,4935,0,0,4.5e-05,0.045000000000000005,0.10222786,-0.13664955,-0.033412147,-0.067833836
100000,37,0.496918,88,20000,4935,4935,0,0,4.5e-05,0.045000000000000005,0.10222786,-0.13664955,-0.033412147,-0.067833836
100000,38,1.95194,33,20000,4935,4935,0,0,4.5e-05,0.045000000000000005,0.10222786,-0.13664955,-0.033412147,-0.067833836
100000,39,1.306,60,20000,4935,4935,0,0,4.5e-05,0.045000000000000005,0.10222786,-0.13664955,-0.033412147,-0.067833836
100000,40,1.82941,40,20000,4935,4935,0,0,4.5e-05,0.045000000000000005,0.10222786,-0.13664955,-0.033412147,-0.067833836
100000,41,1.07792,69,20000,4935,4935,0,0,4.5e-05,0.045000000000000005,0.10222786,-0.13664955,-0.033412147,-0.067833836
100000,42,1.29574,61,20000,4935,4935,0,0,4.5e-05,0.045000000000000005,0.10222786,-0.13664955,-0.033412147,-0.067833836
100000,43,1.26672,63,20000,4935,4935,0,0,4.5e-05,0.045000000000000005,0.10222786,-0.13664955,-0.033412147,-0.067833836
100000,44,0.496969,87,20000,4935,4935,0,0,4.5e-05,0.045000000000000005,0.10222786,-0.13664955,-0.033412147,-0.067833836
100000,45,0.924338,71,20000,4935,4935,0,0,4.5e-05,0.045000000000000005,0.10222786,-0.13664955,-0.033412147,-0.067833836
100000,46,1.89332,37,20000,4935,4935,0,0,4.5e-05,0.045000000000000005,0.10222786,-0.13664955,-0.033412147,-0.067833836
100000,47,1.59868,43,20000,4935,4935,0,0,4.5e-05,0.045000000000000005,0.10222786,-0.13664955,-0.033412147,-0.067833836
100000,48,1.43778,48,20000,4935,4935,0,0,4.5e-05,0.045000000000000005,0.10222786,-0.13664955,-0.033412147,-0.067833836
100000,49,1.20874,65,20000,4935,4935,0,0,4.5e-05,0.045000000000000005,0.10222786,-0.13664955,-0.033412147,-0.067833836
100000,50,2.17416,21,20000,4935,4935,0,0,4.5e-05,0.045000000000000005,0.10222786,-0.13664955,-0.033412147,-0.067833836
100000,51,2.14154,23,20000,4935,4935,0,0,4.5e-05,0.045000000000000005,0.10222786,-0.13664955,-0.033412147,-0.067833836
100000,52,0.498811,75,20000,4935,4935,0,0,4.5e-05,0.045000000000000005,0.10222786,-0.13664955,-0.033412147,-0.067833836
100000,53,1.2669,62,20000,4935,4935,0,0,4.5e-05,0.045000000000000005,0.10222786,-0.13664955,-0.033412147,-0.067833836
100000,54,2.24526,19,20000,4935,4935,0,0,4.5e-05,0.045000000000000005,0.10222786,-0.13664955,-0.033412147,-0.067833836
100000,55,0.496879,90,20000,4935,4935,0,0,4.5e-05,0.045000000000000005,0.10222786,-0.13664955,-0.033412147,-0.067833836
100000,56,2.16156,22,20000,4935,4935,0,0,4.5e-05,0.045000000000000005,0.10222786,-0.13664955,-0.033412147,-0.067833836
100000,57,0.495933,96,20000,4935,4935,0,0,4.5e-05,0.045000000000000005,0.10222786,-0.13664955,-0.033412147,-0.067833836
100000,58,1.96743,31,20000,4935,4935,0,0,4.5e-05,0.045000000000000005,0.10222786,-0.13664955,-0.033412147,-0.067833836
