id,atom1,atom2,length_mm
586,23,24,0.2102789569084011
587,23,29,0.2119767538267513
588,23,37,0.11745197913690322
589,23,47,0.12744663614017923
590,23,53,0.2225906718852742
591,23,73,0.24713400513240472
592,23,93,0.23703132083747022
593,23,96,0.24555460541060792
594,23,98,0.16556353012622266
595,23,108,0.24102942945901526
596,23,115,0.13948191891481923
597,23,118,0.15319639159589848
598,23,135,0.24907732360319404
599,23,148,0.16424965956390167
600,23,159,0.17931075649947606
601,23,177,0.13651529290107417
602,23,187,0.1274665499657088
603,23,190,0.14280652595839552
604,23,230,0.21647128971875082
605,23,243,0.1571228971750551
606,23,244,0.20200989049334603
607,23,249,0.20816361145525455
608,24,51,0.1272241698893984
609,24,53,0.1788222445768354
610,24,66,0.2233649353327866
611,24,68,0.1804035744767617
612,24,74,0.19422019400130783
613,24,93,0.14779235552589326
614,24,98,0.11420619816575231
615,24,110,0.12331639272939018
616,24,115,0.23769852706827285
617,24,118,0.2350890986805662
618,24,119,0.23003692476509477
619,24,128,0.14281674239200293
620,24,143,0.23442133228559536
621,24,148,0.18189108301345586
622,24,150,0.11990482038507108
623,24,154,0.1183210251701034
624,24,176,0.19846431413625687
625,24,177,0.1151778295236259
626,24,190,0.2037241009949409
627,24,198,0.1927143666991781
628,24,201,0.1967594225345379
629,24,210,0.12143356076999702
630,24,214,0.19553602960455724
631,24,215,0.21943476784947527
632,24,216,0.19960863069482568
633,24,228,0.24858659487558296
634,24,243,0.21410430836176766
635,24,244,0.2034215211678743
636,25,41,0.23611667292663235
637,25,46,0.1886258167679895
638,25,78,0.21769715974029594
639,25,81,0.2393064666054955
640,25,97,0.21920485433829356
641,25,132,0.23831674876206635
642,25,146,0.131601045995262
643,25,151,0.11394042187493239
644,25,157,0.17742664329864172
645,25,163,0.13585150946221342
646,25,184,0.18013506889187803
647,25,191,0.2368943978612421
648,25,199,0.19706507174775856
649,25,233,0.11489975889815969
650,26,32,0.22322172147696281
651,26,38,0.12742989508953348
652,26,40,0.1746175190645521
653,26,58,0.2437653670398682
654,26,60,0.13742607492502812
655,26,63,0.13721567671218607
656,26,70,0.15198097559988655
657,26,84,0.15615479748967606
658,26,93,0.22464007952725917
659,26,103,0.19277534866050078
660,26,106,0.21345602456932328
661,26,111,0.23726563420872543
662,26,126,0.2093392128116053
663,26,129,0.2410279040896525
664,26,136,0.2151231976562152
665,26,137,0.1593383255471355
666,26,143,0.2006855148063536
667,26,152,0.11228831278358391
668,26,160,0.2407523245145331
669,26,162,0.1628375192054891
670,26,165,0.2056705580282802
671,26,172,0.24232527276896845
672,26,179,0.1239739549927075
673,26,208,0.23915291589291982
674,26,215,0.14105790307614352
675,26,219,0.20314296243233007
676,26,223,0.15875833429804914
677,26,236,0.22876467721717794
678,26,248,0.16530242940305856
679,26,250,0.15795545817763768
680,27,43,0.1692219632138796
681,27,58,0.23650021647124872
682,27,65,0.2087450945683271
683,27,94,0.2133409822674751
684,27,107,0.20791344773604561
685,27,108,0.19227966290702625
686,27,109,0.2468092755613596
687,27,147,0.18827214529120503
688,27,149,0.11786627359675363
689,27,153,0.20284028890848588
690,27,167,0.11537235476060625
691,27,174,0.1399885760754803
692,27,188,0.2135888904524158
693,27,194,0.11805457156584798
694,27,218,0.11073551237793722
695,27,227,0.12308863237496982
696,27,230,0.23776964551146484
697,28,33,0.14953966367241028
698,28,42,0.1162350550336117
699,28,43,0.15129883451153453
700,28,44,0.16433930922448145
701,28,55,0.1378301070240646
702,28,57,0.23803607933632853
703,28,58,0.2336123599761175
704,28,63,0.22932611366684183
705,28,70,0.24185420085167394
706,28,77,0.2220958987550674
707,28,82,0.21915736188493187
708,28,84,0.11730024245453903
709,28,94,0.17384843549115414
710,28,103,0.2071916826279404
711,28,109,0.13108502759895316
712,28,114,0.2453839497027408
713,28,126,0.183020007261769
714,28,133,0.15104062887288444
715,28,136,0.15906557812257371
716,28,137,0.19114521625647615
717,28,160,0.18168627126348924
718,28,161,0.23265521493152594
719,28,180,0.12773256658377444
720,28,227,0.20039698583313487
721,28,234,0.19853105429320828
722,28,247,0.20024996432171158
723,28,250,0.21133301247248867
724,29,37,0.2447488955364671
725,29,42,0.23887408719736797
726,29,47,0.24225425875107096
727,29,53,0.1812751575994064
728,29,56,0.2234981817104531
729,29,73,0.18114154795489085
730,29,80,0.22604259454251685
731,29,103,0.1901925621636954
732,29,107,0.2352050832233708
733,29,108,0.1557817835519046
734,29,109,0.16734784135946076
735,29,114,0.15164376074940783
736,29,115,0.12563004140252196
737,29,118,0.13452341894726433
738,29,121,0.12724445210238458
739,29,140,0.22692023878042764
740,29,148,0.2442732590588472
741,29,153,0.2293064801862685
742,29,159,0.17593885756708816
743,29,160,0.20566093589138754
744,29,167,0.17692546664377692
745,29,174,0.248406168225263
746,29,177,0.19218353024451296
747,29,187,0.1810816549572883
748,29,196,0.14784360299633403
749,29,197,0.24740167934024876
750,29,226,0.24432109345868014
751,29,227,0.1880079106117538
752,29,230,0.21525128191650728
753,29,234,0.18989118530732835
754,29,242,0.12154048772249691
755,29,244,0.11459654910927541
756,29,249,0.23011780192736844
757,30,53,0.24418537026760953
758,30,59,0.22242768271577126
759,30,66,0.14634285164057392
760,30,71,0.19746585060194483
761,30,86,0.23801029031555887
762,30,92,0.12158937709310581
763,30,99,0.21247038387875372
764,30,101,0.19233159193301427
765,30,105,0.1604711386100479
766,30,119,0.2105436356370628
767,30,122,0.21012313310780967
768,30,124,0.21228195097325833
769,30,128,0.24625361979991753
770,30,134,0.18852206515323802
771,30,150,0.18856213276603132
772,30,154,0.16323540060390881
773,30,156,0.2326599623072077
774,30,168,0.13731686141482627
775,30,171,0.22568873239007864
776,30,176,0.1507855136436159
777,30,201,0.12149026753083429
778,30,207,0.2021838462799583
779,30,210,0.22772668322745365
780,30,211,0.1143540913296372
781,30,228,0.23681052155385215
782,30,232,0.11719089177181435
783,30,241,0.11698961950414946
784,31,45,0.19421384195019975
785,31,56,0.17641173630155338
786,31,67,0.18398516319022945
787,31,69,0.10988201552892489
788,31,73,0.1845756083695833
789,31,80,0.22642729760399566
790,31,89,0.15197672526402767
791,31,100,0.22695765763062503
792,31,138,0.125257595591156
793,31,140,0.24007179719851784
794,31,142,0.22719342244437707
795,31,158,0.21669077750073867
796,31,192,0.11001217772209552
797,31,203,0.2338825003973777
798,31,213,0.23492443472940552
799,31,221,0.14380193866811355
800,31,235,0.12268969917852246
801,31,240,0.12982384910977965
802,31,249,0.2402826216922735
803,32,38,0.245812122117436
804,32,58,0.23242086481116142
805,32,60,0.16036845865985916
806,32,63,0.15810194980869982
807,32,93,0.19693528782687827
808,32,96,0.1321007138546295
809,32,103,0.2095339771258842
810,32,106,0.11916796493024884
811,32,115,0.23931613007654398
812,32,135,0.11568297720921644
813,32,143,0.15548051407883295
814,32,174,0.24215260847138892
815,32,179,0.1160222659193539
816,32,188,0.16271946568641077
817,32,214,0.22086867462194626
818,32,215,0.23847606274871017
819,32,230,0.23490115291154237
820,32,243,0.23315900165494285
821,32,248,0.17747836964630884
822,33,34,0.23896500960729103
823,33,39,0.14730752909910558
824,33,42,0.13287223834152853
825,33,46,0.2336799372184123
826,33,55,0.1703517334789046
827,33,64,0.22357624125467618
828,33,71,0.20075500877952962
829,33,77,0.15461485580150175
830,33,81,0.1851852186287914
831,33,90,0.23101710388304017
832,33,94,0.2463178350361942
833,33,101,0.2271224326596797
834,33,109,0.22190790302608596
